1,[lmroman10-regular]:+tlig;,83,0050,11363533,31555787,466
1,[lmroman10-regular]:+tlig;,76,004E,11809833,31555787,467
1,[lmroman10-regular]:+tlig;,58,0047,12301353,31555787,468
1,[lmroman10-regular]:+tlig;,34,0042,13402767,14204477,674
1,[lmroman10-regular]:+tlig;,74,004D,13866762,14204477,675
1,[lmroman10-regular]:+tlig;,83,0050,14467727,14204477,676
1,[lmroman10-regular]:+tlig;,82,0031,19350815,5949151,827
2,[lmroman10-regular]:+tlig;,67,004A,10837279,30042807,945
2,[lmroman10-regular]:+tlig;,83,0050,11174134,30042807,946
2,[lmroman10-regular]:+tlig;,58,0047,11620434,30042807,947
2,[lmroman10-regular]:+tlig;,83,0050,15890717,22427197,1286
2,[lmroman10-regular]:+tlig;,42,0043,16337017,22427197,1287
2,[lmroman10-regular]:+tlig;,115,0058,16810187,22427197,1288
2,[lmroman10-regular]:+tlig;,107,0032,19350815,5949151,1432
3,[lmroman10-regular]:+tlig;,104,0054,17612800,30042807,1551
3,[lmroman10-regular]:+tlig;,65,0049,18085970,30042807,1552
3,[lmroman10-regular]:+tlig;,54,0046,18322555,30042807,1553
3,[lmroman10-regular]:+tlig;,54,0046,18750505,30042807,1554
3,[lmroman10-regular]:+tlig;,49,0045,9192735,27426611,1701
3,[lmroman10-regular]:+tlig;,83,0050,9639035,27426611,1702
3,[lmroman10-regular]:+tlig;,97,0053,10085335,27426611,1703
3,[lmroman10-regular]:+tlig;,106,0033,19350815,5949151,1857
